string_0,string_1,number_0,number_1,number_2,number_3,number_4,number_5,target,is_test,line_id
Санкт-Петербург,Wednesday,13577.0,9.68366196039484,12135.0,1911.0,4214.0,5,0.967,0,29
Москва,Thursday,27819.0,17.0345689914905,21658.0,2574.0,3356.0,13,2.002,0,30
Ростов-на-Дону,Friday,81498.0,56.0960245354065,74243.0,4677.0,8277.0,5,2.812,0,31
Екатеринбург,Thursday,1434986.0,1082.36659258262,1302638.0,67384.0,93173.0,5,3.908,0,32
Екатеринбург,Monday,356069.0,290.733519539645,390743.0,17131.0,29042.0,5,0.721,0,33
Нижний Новгород,Tuesday,381866.0,316.516610101655,,20025.0,,6,1.011,0,35
Москва,Friday,393071.0,351.174489032978,,16651.0,,13,4.125,0,36
Москва,Tuesday,983378.0,916.466651741571,1088734.0,44170.0,73253.0,5,2.991,0,37
Ростов-на-Дону,Wednesday,430844.0,384.484038130442,,20305.0,,7,1.002,0,39
Екатеринбург,Monday,955226.0,827.51308287997,908151.0,45684.0,55373.0,6,1.842,0,40
Екатеринбург,Tuesday,297999.0,273.579788969333,,15259.0,,2,1.479,0,41
Москва,Tuesday,224553.0,197.527990616553,51317.0,10435.0,6899.0,4,1.104,0,42
Самара,Wednesday,22164.0,18.9432558022976,23477.0,1999.0,4130.0,6,0.827,0,44
Екатеринбург,Thursday,82939.0,56.1720665335137,,4965.0,,4,1.825,0,46
Екатеринбург,Tuesday,207209.0,191.106501583853,256038.0,10282.0,32959.0,6,0.835,0,47
Хабаровск,Wednesday,3951923.0,2252.05537795973,3239373.0,185171.0,267734.0,7,9.263,0,50
Москва,Friday,24463.0,16.6583813871594,23348.0,2324.0,3704.0,3,2.813,0,52
Екатеринбург,Wednesday,509983.0,368.053216836266,772651.0,26431.0,68024.0,5,1.031,0,53
Ростов-на-Дону,Friday,281466.0,253.882616952126,,13315.0,,4,2.925,0,54
Москва,Tuesday,23504.0,15.0156142497382,18595.0,2144.0,5572.0,6,0.86,0,55
Самара,Friday,240668.0,173.540957708506,,13767.0,,4,4.45,0,58
Екатеринбург,Monday,24945.0,12.8587850395217,16763.0,2020.0,5366.0,6,0.791,0,59
Самара,Wednesday,432830.0,347.089134722716,481745.0,24001.0,43717.0,5,2.657,0,60
Санкт-Петербург,Wednesday,6740.0,5.79812572359862,10400.0,1280.0,3045.0,5,0.99,0,61
Москва,Wednesday,19991.0,14.1828092086576,20765.0,1910.0,3550.0,20,0.938,0,63
Екатеринбург,Tuesday,3497.0,2.35352239296442,3565.0,667.0,2220.0,5,0.842,0,64
Нижний Новгород,Wednesday,235572.0,200.18961896404,489512.0,12565.0,48705.0,6,1.623,0,65
Москва,Monday,28157.0,15.86282143669,20163.0,2096.0,4184.0,14,0.877,0,66
Москва,Tuesday,12044.0,8.62024866086407,11110.0,1371.0,2758.0,13,0.715,0,68
Москва,Wednesday,26099.0,17.8426458000746,26232.0,2482.0,4161.0,10,1.216,0,69
Хабаровск,Wednesday,,1366.21412391309,,,,3,17.569,0,70
Москва,Thursday,4892.0,3.20480537606438,5988.0,847.0,2320.0,5,1.408,0,71
Нижний Новгород,Monday,8505.0,4.38206743078479,5935.0,1022.0,3370.0,4,0.887,0,72
Москва,Monday,22820.0,12.9841300770268,19541.0,2201.0,3660.0,12,0.867,0,74
Нижний Новгород,Thursday,775001.0,566.403811257595,878797.0,37842.0,79423.0,5,4.063,0,77
Москва,Tuesday,19991.0,14.1828092086576,20765.0,1910.0,3550.0,16,0.754,0,78
Хабаровск,Thursday,916695.0,600.289965402502,,79636.0,,2,4.04,0,79
Екатеринбург,Wednesday,588604.0,484.104998577314,,28041.0,,5,2.388,0,81
Екатеринбург,Wednesday,267935.0,193.373464945058,,14746.0,,5,2.487,0,83
Москва,Monday,8906.0,5.41981318568197,9112.0,980.0,3418.0,11,0.899,0,84
Екатеринбург,Wednesday,512914.0,399.462434272589,1102066.0,23200.0,115243.0,5,5.113,0,85
Ростов-на-Дону,Friday,290326.0,256.775949314728,301790.0,13485.0,27485.0,5,2.058,0,87
Москва,Tuesday,250215.0,203.038478901246,,13273.0,,6,1.539,0,88
Екатеринбург,Friday,218787.0,199.445327973965,265405.0,11134.0,35199.0,4,2.844,0,89
Москва,Monday,413855.0,371.427286340021,434740.0,18366.0,20045.0,7,0.559,0,90
Ростов-на-Дону,Thursday,543417.0,457.36498893298,,24525.0,,8,4.04,0,92
Самара,Wednesday,513212.0,417.875015138525,,25043.0,,5,9.016,0,93
Хабаровск,Thursday,,1727.69046943289,,,,6,4.951,0,94
Москва,Thursday,13685.0,9.84257077223604,13302.0,1683.0,2395.0,10,1.076,0,95
Екатеринбург,Friday,1313710.0,1008.93470635396,,61861.0,,6,5.376,0,96
Екатеринбург,Wednesday,101655.0,93.3046821466492,103441.0,6576.0,10474.0,8,1.409,0,98
Москва,Wednesday,138351.0,114.018679815182,137699.0,7896.0,11232.0,6,0.971,0,100
Хабаровск,Wednesday,3120903.0,2203.45601623598,3339423.0,144264.0,264394.0,5,3.034,0,102
Москва,Wednesday,416040.0,374.285164573101,432498.0,18700.0,20055.0,6,0.934,0,104
Москва,Thursday,971645.0,909.670871516773,1077298.0,43240.0,71011.0,4,3.859,0,106
Хабаровск,Thursday,3118049.0,2205.68133389011,3334494.0,143917.0,263084.0,7,3.829,0,107
Москва,Thursday,20972.0,10.0389324323411,18689.0,1728.0,4263.0,8,1.679,0,108
Москва,Thursday,1235284.0,990.215463197293,1139417.0,57010.0,77374.0,8,3.895,0,109
Ростов-на-Дону,Wednesday,83260.0,65.5214819341021,84426.0,5147.0,7609.0,9,3.394,0,110
Москва,Monday,564703.0,504.205653612283,,24981.0,,5,4.543,0,111
Хабаровск,Friday,1697140.0,790.992005865436,,121185.0,,6,13.076,0,112
Екатеринбург,Friday,359600.0,291.572102817438,385092.0,17848.0,27977.0,4,2.788,0,114
Екатеринбург,Monday,209515.0,193.232512393836,255968.0,10602.0,32525.0,5,0.892,0,116
Москва,Friday,5599.0,2.66966478635933,5309.0,1045.0,1829.0,6,3.016,0,117
Москва,Tuesday,6785.0,4.11964446095334,8570.0,1514.0,2238.0,3,0.841,0,118
Москва,Tuesday,618059.0,476.754024961461,,32686.0,,7,4.595,0,119
Санкт-Петербург,Monday,964561.0,828.118471771656,,46282.0,,5,2.067,0,121
Екатеринбург,Tuesday,592067.0,489.933257364012,,28231.0,,6,6.88,0,122
Нижний Новгород,Monday,329085.0,243.173664078995,,17637.0,,4,0.911,0,123
Хабаровск,Monday,,1869.00765716137,,,,5,15.451,0,124
Нижний Новгород,Monday,633823.0,490.788368690681,,31982.0,,3,1.94,0,126
Нижний Новгород,Thursday,1467379.0,989.196255002381,,69730.0,,5,5.312,0,127
Москва,Thursday,966674.0,903.44767179531,1084264.0,42627.0,73143.0,5,3.223,0,128
Ростов-на-Дону,Friday,255682.0,180.438187283876,,12798.0,,4,5.953,0,130
Нижний Новгород,Thursday,623470.0,518.284488574667,1222110.0,30360.0,119895.0,5,4.142,0,131
Санкт-Петербург,Friday,16131.0,11.8581667687337,18903.0,1718.0,5571.0,4,3.052,0,133
Новосибирск,Friday,372709.0,308.106812698053,461662.0,18209.0,29576.0,5,2.728,0,134
Москва,Tuesday,4581.0,3.47254166702752,6249.0,802.0,1959.0,4,0.847,0,135
Нижний Новгород,Tuesday,692626.0,562.524283402628,,34478.0,,6,6.039,0,136
Москва,Wednesday,35798.0,25.0769236278181,34860.0,2946.0,6011.0,8,1.897,0,137
Екатеринбург,Wednesday,507935.0,377.752868111557,765988.0,25763.0,68242.0,5,1.069,0,139
Москва,Friday,9561.0,5.81620146627092,10118.0,1440.0,2082.0,5,2.951,0,140
Самара,Tuesday,2496.0,1.69765738770786,2664.0,444.0,1170.0,6,0.894,0,141
Ростов-на-Дону,Tuesday,281466.0,253.882616952126,,13315.0,,5,0.862,0,142
Хабаровск,Tuesday,751544.0,643.344144166166,842897.0,34795.0,55694.0,7,2.171,0,143
Москва,Thursday,983659.0,916.594371898928,1089078.0,44125.0,72943.0,5,3.774,0,145
Москва,Friday,202966.0,184.352455687771,208205.0,11159.0,16709.0,6,2.499,0,146
Екатеринбург,Thursday,350582.0,306.663415180894,391176.0,15314.0,30119.0,5,4.407,0,147
Москва,Tuesday,965800.0,904.960006712636,1080036.0,42660.0,71431.0,5,2.951,0,148
Москва,Tuesday,203951.0,185.120439069857,209419.0,11315.0,17623.0,6,1.163,0,149
Самара,Tuesday,1193301.0,782.529723630081,1159950.0,62554.0,111985.0,5,2.295,0,151
Ростов-на-Дону,Thursday,353540.0,304.701559952511,370558.0,17738.0,30281.0,5,1.536,0,152
Екатеринбург,Monday,231459.0,203.186471821252,,11369.0,,5,1.109,0,153
Новосибирск,Friday,340157.0,276.532857634001,,16289.0,,5,3.695,0,154
Хабаровск,Tuesday,4866.0,3.31422951878645,5219.0,742.0,3549.0,8,0.661,0,155
Москва,Friday,1066.0,0.849510501555326,901.0,209.0,657.0,9,1.53,0,156
Новосибирск,Monday,252688.0,199.944064282892,315442.0,12413.0,24518.0,6,1.148,0,157
Москва,Monday,13006.0,6.12643663007543,8941.0,1095.0,3019.0,9,0.869,0,158
Екатеринбург,Tuesday,1870429.0,1331.64402288445,,90800.0,,5,2.912,0,159
Екатеринбург,Thursday,7319.0,5.55373268579478,7149.0,1221.0,2742.0,5,1.524,0,160
Москва,Tuesday,18156.0,12.0217007978212,18916.0,1596.0,3318.0,8,0.762,0,161
Хабаровск,Tuesday,434120.0,380.147122748086,,20859.0,,6,11.185,0,162
Нижний Новгород,Tuesday,7971.0,4.52886738922921,10828.0,1032.0,4434.0,6,0.717,0,166
Ростов-на-Дону,Friday,360841.0,299.928784487665,369755.0,17359.0,27681.0,6,5.856,0,167
Екатеринбург,Wednesday,358456.0,290.920338298919,386703.0,17595.0,28793.0,5,0.862,0,168
Москва,Thursday,13549.0,10.4453362377008,13731.0,1665.0,3610.0,9,1.852,0,169
Екатеринбург,Friday,439927.0,370.764752729141,,19316.0,,5,5.789,0,170
Санкт-Петербург,Friday,1337557.0,1012.06363383783,1420377.0,58817.0,126415.0,8,4.115,0,171
Санкт-Петербург,Thursday,138368.0,124.678348845451,132703.0,7051.0,6717.0,5,5.011,0,172
Санкт-Петербург,Wednesday,8926.0,6.72134813521552,9421.0,1384.0,3274.0,5,0.965,0,173
Нижний Новгород,Monday,775073.0,561.043409808203,880608.0,37807.0,79486.0,4,1.908,0,174
Хабаровск,Wednesday,694814.0,578.027565565131,,31191.0,,5,2.417,0,176
Нижний Новгород,Thursday,738927.0,551.942205234239,,35589.0,,5,5.33,0,178
Москва,Wednesday,25552.0,17.4230790368849,23665.0,2229.0,3759.0,14,0.955,0,181
Санкт-Петербург,Thursday,15661.0,12.8345325470508,16302.0,2291.0,4444.0,5,1.881,0,182
Самара,Wednesday,227199.0,168.62628979552,,12626.0,,6,3.786,0,183
Москва,Tuesday,21007.0,13.6326515084067,19494.0,2203.0,4087.0,6,0.801,0,185
Москва,Thursday,80572.0,61.5383224533798,71110.0,4961.0,8887.0,3,2.009,0,187
Москва,Wednesday,113254.0,97.3485843420702,,6688.0,,7,0.965,0,188
Москва,Tuesday,27115.0,15.7262829974784,20236.0,2511.0,4465.0,12,0.782,0,189
Москва,Wednesday,412830.0,370.362861504822,435508.0,18190.0,20862.0,6,0.951,0,191
Санкт-Петербург,Tuesday,964007.0,826.410350069014,1767093.0,46587.0,130232.0,5,2.308,0,193
Екатеринбург,Friday,356294.0,288.99784370348,389383.0,17167.0,29622.0,4,2.886,0,194
Самара,Thursday,248107.0,174.838127034555,,14338.0,,5,4.155,0,195
Екатеринбург,Tuesday,326997.0,302.428575582314,329371.0,17131.0,24730.0,5,1.068,0,196
Санкт-Петербург,Tuesday,26252.0,22.1255311990857,28281.0,2128.0,4037.0,3,0.911,0,197
Санкт-Петербург,Tuesday,974461.0,831.251910610752,1765785.0,46767.0,129379.0,5,2.245,0,199
Екатеринбург,Wednesday,328848.0,304.169098846857,334913.0,16987.0,26710.0,5,0.915,0,200
Екатеринбург,Friday,372629.0,293.019698870305,,18180.0,,4,5.17,0,201
Москва,Thursday,19336.0,10.2693030740254,13768.0,1729.0,2763.0,10,1.386,0,203
Екатеринбург,Monday,230358.0,201.739389626527,,11262.0,,6,1.079,0,204
Екатеринбург,Monday,367787.0,317.67527571555,,17402.0,,5,2.379,0,205
Москва,Wednesday,632279.0,494.618718048556,,27854.0,,5,6.538,0,206
Москва,Thursday,19221.0,10.8818903229523,21860.0,1812.0,3987.0,9,2.186,0,207
Санкт-Петербург,Friday,24822.0,21.8777847139805,24461.0,2429.0,4012.0,3,3.071,0,208
Москва,Wednesday,472668.0,408.615640082435,499262.0,23416.0,38263.0,5,0.921,0,211
Новосибирск,Friday,1290003.0,844.697427178919,,62743.0,,16,4.592,0,214
Санкт-Петербург,Thursday,8858.0,6.84141690159982,8294.0,1420.0,2473.0,5,1.794,0,215
Ростов-на-Дону,Tuesday,3616.0,2.92916026786403,3705.0,597.0,1534.0,6,0.888,0,216
Екатеринбург,Tuesday,513605.0,395.189589451468,1098007.0,23222.0,114449.0,3,3.952,0,217
Нижний Новгород,Wednesday,971919.0,714.634156469739,,46676.0,,5,2.606,0,218
Екатеринбург,Thursday,947979.0,821.889423745425,905818.0,44997.0,56111.0,4,3.944,0,219
Екатеринбург,Thursday,588938.0,484.384900227524,,28077.0,,5,4.738,0,221
Санкт-Петербург,Friday,16693.0,13.6675988847931,16641.0,2013.0,3368.0,4,3.079,0,222
Ростов-на-Дону,Wednesday,414629.0,321.962282676186,,21632.0,,5,4.824,0,223
Хабаровск,Thursday,2666754.0,1972.68765068399,2888241.0,118453.0,217799.0,7,4.341,0,225
Москва,Friday,27317.0,16.4939836461253,23292.0,2130.0,4165.0,6,2.402,0,226
Москва,Thursday,14489.0,6.25299116726836,10176.0,1484.0,2236.0,7,1.722,0,227
Нижний Новгород,Friday,780377.0,571.220798474055,884446.0,38393.0,81832.0,4,3.096,0,229
Санкт-Петербург,Thursday,14326.0,10.1209130473291,12278.0,1813.0,2929.0,5,1.694,0,230
Москва,Monday,6967.0,6.70572744112457,7571.0,768.0,2336.0,12,1.065,0,231
Москва,Monday,27448.0,15.8856491982585,18793.0,2453.0,3145.0,13,0.962,0,234
Москва,Friday,25753.0,12.6501387087628,15481.0,1945.0,3182.0,5,2.892,0,235
Хабаровск,Tuesday,3372420.0,2354.14904963056,,154964.0,,10,6.705,0,236
Москва,Wednesday,24864.0,15.3647015322025,21006.0,2400.0,4041.0,12,1.177,0,237
Хабаровск,Wednesday,,3073.73582439883,,,,5,13.296,0,238
Хабаровск,Tuesday,2670607.0,1977.27267880946,2897307.0,119174.0,233999.0,10,4.189,0,242
Новосибирск,Tuesday,234106.0,196.033334004104,234459.0,12773.0,21877.0,4,0.931,0,243
Москва,Thursday,482076.0,415.022961607504,491950.0,21507.0,29616.0,7,2.381,0,244
Москва,Thursday,528337.0,471.096495025481,604244.0,22039.0,31346.0,5,2.046,0,246
Екатеринбург,Friday,1601831.0,1214.8674899915,1474108.0,75790.0,106086.0,5,8.026,0,247
Москва,Tuesday,659045.0,556.652578019661,717727.0,34411.0,45481.0,11,3.962,0,248
Екатеринбург,Thursday,140289.0,127.423213785845,156948.0,7286.0,25830.0,5,2.201,0,249
Екатеринбург,Monday,427032.0,370.669932461557,,21377.0,,2,1.87,0,250
Москва,Thursday,9739.0,7.1898318301851,10880.0,1189.0,3663.0,11,1.603,0,251
Екатеринбург,Friday,190366.0,167.814877660135,,8799.0,,6,5.783,0,252
Москва,Thursday,63557.0,39.1902871398409,49071.0,3723.0,7676.0,5,1.443,0,254
Москва,Thursday,24704.0,15.0391335954061,21466.0,2357.0,3867.0,9,1.937,0,255
Хабаровск,Friday,3142557.0,2288.10887999928,,138568.0,,5,5.075,0,256
Хабаровск,Friday,2666754.0,1972.68765068399,2888241.0,118453.0,217799.0,5,3.663,0,257
Екатеринбург,Friday,96120.0,89.853224743006,104358.0,5902.0,11237.0,5,4.488,0,258
Екатеринбург,Wednesday,949374.0,820.570580088046,909719.0,44976.0,55789.0,5,2.509,0,259
Хабаровск,Tuesday,660886.0,573.696336406526,,31468.0,,6,2.648,0,261
Самара,Friday,34172.0,25.8946886354752,,3074.0,,7,3.209,0,264
Екатеринбург,Monday,554540.0,425.083004008983,,25622.0,,8,3.046,0,265
Нижний Новгород,Thursday,8310.0,5.80058014923879,12237.0,1262.0,5080.0,5,1.519,0,267
Хабаровск,Monday,4091084.0,2644.69128393924,4210520.0,191745.0,336627.0,4,6.788,0,268
Москва,Thursday,511403.0,458.978483800006,602721.0,21182.0,29282.0,5,2.007,0,270
Новосибирск,Monday,345028.0,179.743773569467,,17665.0,,5,2.75,0,271
Екатеринбург,Monday,371626.0,287.798249150311,391762.0,17570.0,29837.0,5,0.753,0,272
Санкт-Петербург,Monday,4911.0,1.6276278483436,2153.0,889.0,1017.0,5,0.946,0,273
Екатеринбург,Friday,949374.0,820.570580088046,909719.0,44976.0,55789.0,5,2.93,0,274
Екатеринбург,Wednesday,857731.0,699.024328183188,,42150.0,,15,7.242,0,275
Екатеринбург,Tuesday,1346185.0,1022.49497455852,,64120.0,,5,2.151,0,276
Екатеринбург,Friday,592067.0,489.933257364012,,28231.0,,5,3.856,0,277
Нижний Новгород,Tuesday,642050.0,458.279082954123,,32761.0,,6,0.882,0,278
Екатеринбург,Monday,374269.0,300.409690971886,391314.0,17558.0,31692.0,5,0.855,0,279
Санкт-Петербург,Friday,9973.0,7.7721777655897,9147.0,1458.0,2561.0,1,3.02,0,280
Екатеринбург,Tuesday,1682949.0,1285.65858180689,,80245.0,,9,7.504,0,281
Ростов-на-Дону,Thursday,303352.0,274.165661597387,,14586.0,,8,3.751,0,284
Москва,Thursday,195253.0,181.140931831605,203283.0,10887.0,15690.0,5,1.603,0,285
Хабаровск,Thursday,,1032.50246100485,,,,1,20.489,0,286
Екатеринбург,Monday,1007697.0,837.219558420353,,47879.0,,6,4.98,0,287
Хабаровск,Monday,689337.0,558.868540657718,761001.0,29713.0,83676.0,7,5.604,0,288
Москва,Tuesday,617914.0,567.173665076925,,27736.0,,16,6.462,0,291
Хабаровск,Friday,3120708.0,2202.86619940249,3337033.0,144283.0,263706.0,4,3.078,0,294
Хабаровск,Friday,754625.0,645.388442735911,839758.0,35130.0,54914.0,7,3.044,0,295
Москва,Tuesday,563118.0,485.048206873405,559707.0,25846.0,33724.0,8,2.895,0,296
Екатеринбург,Wednesday,385885.0,312.871570294244,408141.0,18027.0,34779.0,5,0.886,0,302
Хабаровск,Tuesday,2103337.0,1577.29880525021,,89627.0,,6,5.612,0,303
Самара,Monday,886701.0,621.131940465974,1060073.0,47884.0,97908.0,10,4.837,0,304
Ростов-на-Дону,Thursday,11873.0,9.23730190184772,15445.0,1545.0,5862.0,5,1.526,0,305
Екатеринбург,Monday,950820.0,823.455346355536,904513.0,45263.0,54918.0,6,1.909,0,306
Москва,Friday,465464.0,371.395502672123,519672.0,20217.0,59126.0,6,2.912,0,308
Санкт-Петербург,Wednesday,16759.0,13.5859848794436,17232.0,2356.0,4218.0,5,1.106,0,309
Екатеринбург,Thursday,362283.0,292.179087486555,388092.0,17240.0,28887.0,6,1.348,0,310
Санкт-Петербург,Wednesday,426828.0,298.61526696768,399192.0,19827.0,31594.0,5,1.33,0,314
Москва,Wednesday,14045.0,6.97357252757751,14522.0,1369.0,4350.0,12,1.09,0,315
Москва,Friday,246995.0,219.428710948499,260819.0,11289.0,37166.0,5,4.019,0,316
Новосибирск,Thursday,472730.0,304.994585830786,,22699.0,,3,6.516,0,317
Новосибирск,Monday,607914.0,461.30431280964,,29115.0,,7,9.83,0,320
Екатеринбург,Wednesday,508983.0,372.426750998634,742298.0,26318.0,62054.0,5,1.101,0,321
Москва,Friday,87314.0,66.8863585644809,75701.0,5593.0,8331.0,4,2.886,0,322
Новосибирск,Friday,360776.0,317.351392573655,,17908.0,,5,3.071,0,323
Нижний Новгород,Friday,625484.0,519.47789188151,,30539.0,,4,3.012,0,324
Нижний Новгород,Monday,637887.0,524.003378999338,,31340.0,,4,1.841,0,325
Санкт-Петербург,Wednesday,6512.0,5.32316743653389,7121.0,1234.0,3160.0,5,1.006,0,326
Москва,Monday,459843.0,416.233217797397,475101.0,21176.0,36914.0,6,1.349,0,327
Москва,Friday,13549.0,10.4453362377008,13731.0,1665.0,3610.0,9,2.579,0,328
Екатеринбург,Wednesday,4292.0,2.61614876928348,3706.0,815.0,2262.0,5,0.984,0,331
Москва,Wednesday,194337.0,163.050357408365,196672.0,10410.0,15539.0,5,1.04,0,332
Новосибирск,Friday,840540.0,675.038118799422,,41695.0,,5,4.125,0,333
Хабаровск,Thursday,66245.0,58.395629271044,,4272.0,,7,5.209,0,334
Москва,Friday,6955.0,3.58098398868358,5778.0,1145.0,2212.0,5,1.862,0,336
Екатеринбург,Wednesday,435480.0,352.84464472462,,21160.0,,6,7.165,0,338
Хабаровск,Friday,434828.0,234.180622369574,,21016.0,,5,5.732,0,339
Москва,Monday,81418.0,54.0607505648042,67920.0,4760.0,8279.0,9,0.859,0,340
Новосибирск,Wednesday,241793.0,192.208682057566,246158.0,13764.0,25234.0,8,0.823,0,341
Екатеринбург,Wednesday,420017.0,336.593376657082,,19002.0,,6,6.8,0,343
Екатеринбург,Monday,205455.0,189.278769747405,259673.0,10083.0,34328.0,5,0.769,0,344
Ростов-на-Дону,Thursday,534924.0,440.662024128091,,24495.0,,5,3.883,0,345
Екатеринбург,Tuesday,981675.0,649.631982044987,,44026.0,,8,5.957,0,346
Санкт-Петербург,Tuesday,8807.0,6.3604184761434,7972.0,1377.0,2387.0,5,0.958,0,347
Москва,Thursday,189534.0,172.357879417799,198146.0,9683.0,10622.0,13,1.372,0,348
Нижний Новгород,Wednesday,777731.0,599.705420498064,,38042.0,,5,6.77,0,350
Ростов-на-Дону,Thursday,559281.0,410.693624343921,513600.0,29961.0,58508.0,5,4.325,0,354
Москва,Thursday,21772.0,12.6715977544085,18026.0,2123.0,3358.0,11,2.142,0,355
Нижний Новгород,Wednesday,,1379.2051428318,,,,6,5.755,0,357
Екатеринбург,Thursday,676052.0,508.034669997554,,34051.0,,6,5.794,0,358
Москва,Tuesday,3090.0,2.61644521336012,3575.0,445.0,1554.0,4,0.787,0,359
Москва,Monday,11511.0,6.12584203379291,9610.0,1149.0,2231.0,14,0.871,0,363
Москва,Tuesday,30685.0,16.6174633045269,19644.0,2446.0,3802.0,4,0.802,0,364
Москва,Thursday,196359.0,168.987342052022,190299.0,9427.0,10153.0,5,4.922,0,365
Хабаровск,Thursday,2099635.0,1573.98239503361,2324438.0,89171.0,174124.0,8,4.566,0,366
Нижний Новгород,Friday,388109.0,322.076422923971,,20624.0,,4,3.075,0,367
Москва,Friday,24706.0,20.850846772945,27786.0,2341.0,5095.0,7,2.59,0,368
Москва,Wednesday,23376.0,14.4008442468808,25509.0,2147.0,4336.0,17,0.895,0,370
Самара,Monday,411764.0,365.28446541126,440406.0,19594.0,35222.0,7,1.124,0,371
Москва,Wednesday,240995.0,221.377236732621,278823.0,10992.0,27772.0,5,5.111,0,372
Москва,Friday,1402847.0,1036.6151870813,,71601.0,,2,9.201,0,374
Москва,Friday,429339.0,353.010617004695,443269.0,21129.0,28163.0,5,3.87,0,376
Москва,Thursday,109751.0,87.3953710946764,96799.0,5801.0,6967.0,5,1.557,0,377
Москва,Wednesday,618059.0,476.754024961461,,32686.0,,4,5.735,0,378
Москва,Thursday,11537.0,8.63275873933078,13103.0,1059.0,4237.0,8,1.455,0,379
Хабаровск,Friday,548894.0,387.88185351084,,29018.0,,5,7.632,0,380
Ростов-на-Дону,Tuesday,7657.0,4.83036793401146,7157.0,1088.0,3021.0,6,0.804,0,382
Москва,Monday,26111.0,14.3305847019172,17338.0,1859.0,3672.0,10,0.847,0,384
Нижний Новгород,Tuesday,246158.0,224.588802931026,263242.0,12411.0,18233.0,6,0.827,0,386
Екатеринбург,Thursday,2116545.0,1155.17789685814,,103104.0,,5,6.133,0,387
Москва,Wednesday,299987.0,258.891160782363,303001.0,15201.0,35298.0,4,1.193,0,390
Новосибирск,Thursday,256538.0,202.988802418785,319062.0,13130.0,25434.0,5,1.504,0,391
Нижний Новгород,Tuesday,50148.0,37.4223119146992,48003.0,3959.0,8519.0,6,1.005,0,392
Новосибирск,Tuesday,358839.0,284.988469165561,360874.0,18387.0,50127.0,8,8.577,0,393
Ростов-на-Дону,Monday,176168.0,161.237284107605,176703.0,8967.0,14272.0,5,4.4,0,394
Екатеринбург,Wednesday,211197.0,192.8574759867,257940.0,10470.0,33958.0,6,0.87,0,395
Екатеринбург,Monday,375436.0,261.546486787371,,20020.0,,5,1.879,0,397
Москва,Monday,194221.0,180.430005684563,195773.0,10701.0,15525.0,7,0.679,0,398
Новосибирск,Thursday,358839.0,284.988469165561,360874.0,18387.0,50127.0,8,6.579,0,400
Москва,Thursday,132867.0,117.408944120386,125638.0,8902.0,9155.0,4,1.664,0,402
Москва,Friday,40829.0,30.4080799081301,38405.0,3508.0,5415.0,4,3.942,0,404
Ростов-на-Дону,Monday,452775.0,363.816619063711,512805.0,21869.0,53762.0,6,5.722,0,405
Хабаровск,Wednesday,879679.0,657.461946216535,,42429.0,,4,4.022,0,406
Хабаровск,Wednesday,185487.0,158.942816603938,176186.0,9430.0,13201.0,6,2.562,0,407
Москва,Tuesday,470937.0,405.393538578434,,23039.0,,9,0.921,0,410
Екатеринбург,Tuesday,709850.0,532.229019182634,955378.0,35376.0,72826.0,5,3.856,0,411
Москва,Wednesday,59783.0,50.7085879163261,57874.0,3912.0,6893.0,6,0.976,0,413
